 BRA05 3   14070      Pw    1.9088 0.0100  5.0  0.0 4 0  1.49e-07 earthnote 1599204982.51041 1                                                                                                                      
 BRA05 3   14071      Pw    1.8726 0.0100  5.0  0.0 4 0  1.51e-07 earthnote 1599204983.93343 1                                                                                                                      
 BRA05 3   14072      Pw    1.8522 0.0100  5.0  0.0 4 0  1.54e-07 earthnote 1599204985.45005 1                                                                                                                      
 BRA05 4   14073      Pw    1.8292 0.0100  5.0  0.0 4 0  3.95e-08 earthnote 1599261786.53093 1                                                                                                                      
 BRA05 4   14074      Pw    1.8018 0.0100  5.0  0.0 4 0  4.04e-08 earthnote 1599261787.85316 1                                                                                                                      
 BRA05 4   14075      Pw    1.7807 0.0100  5.0  0.0 4 0  4.14e-08 earthnote 1599261789.03846 1                                                                                                                      
 BRA05 4   14076      Pw    1.7887 0.0100  5.0  0.0 4 0  4.25e-08 earthnote 1599261790.24634 1                                                                                                                      
 BRA05 4   14077      Pw    1.8156 0.0100  5.0  0.0 4 0  4.36e-08 earthnote 1599261791.39542 1                                                                                                                      
 BRA05 4   14078      Pw    1.8381 0.0100  5.0  0.0 4 0  4.48e-08 earthnote 1599261792.40252 1                                                                                                                      
 BRA05 4   14079      Pw    1.8817 0.0100  5.0  0.0 4 0  4.61e-08 earthnote 1599261793.37267 1                                                                                                                      
 BRA05 4   14080      Pw    1.9283 0.0100  5.0  0.0 4 0  4.74e-08 earthnote 1599261794.19597 1                                                                                                                      
 BRA05 4   14081      Pw    2.0035 0.0100  5.0  0.0 4 0  4.88e-08 earthnote 1599261799.11685 1                                                                                                                      
 BRA05 3   15045      Pw    2.2447 0.0100  5.0  0.0 4 0  1.97e-07 earthnote 1599204856.11479 1                                                                                                                      
 BRA05 3   15046      Pw    2.2022 0.0100  5.0  0.0 4 0  1.91e-07 earthnote 1599204857.46979 1                                                                                                                      
 BRA05 4   15047      Pw    2.1602 0.0100  5.0  0.0 4 0  4.62e-08 earthnote 1599261729.68355 1                                                                                                                      
 BRA05 3   15048      Pw    2.1086 0.0100  5.0  0.0 4 0  1.79e-07 earthnote 1599204860.56435 1                                                                                                                      
 BRA05 3   15049      Pw    2.0534 0.0100  5.0  0.0 4 0  1.73e-07 earthnote 1599204864.16965 1                                                                                                                      
 BRA05 3   15050      Pw    2.0264 0.0100  5.0  0.0 4 0  1.67e-07 earthnote 1599204865.41516 1                                                                                                                      
 BRA05 3   15051      Pw    1.9946 0.0100  5.0  0.0 4 0  1.62e-07 earthnote 1599204866.80726 1                                                                                                                      
 BRA05 3   15052      Pw    1.9530 0.0100  5.0  0.0 4 0  1.57e-07 earthnote 1599204868.15828 1                                                                                                                      
 BRA05 3   15053      Pw    1.9050 0.0100  5.0  0.0 4 0  1.52e-07 earthnote 1599204869.50296 1                                                                                                                      
